selected_skills_count,total_questions,total_correct,accuracy_pct,avg_time_sec,overall_score,math_score,logic_score,aptitude_score,problem_score,target_score
4,20,16,80.0,31.45,79.0,97.0,79.8,81.5,80.55,78.8
4,20,13,65.0,38.65,63.0,38.0,83.0,84.4,56.55,66.0
4,20,14,70.0,36.06,68.75,38.0,75.2,92.9,56.55,70.6
4,20,11,55.0,42.81,53.75,58.0,48.8,42.8,64.9,56.0
4,20,15,75.0,36.14,75.25,78.0,71.0,74.0,74.95,78.2
4,20,16,80.0,31.73,78.38,64.0,87.0,78.45,85.28,75.0
4,20,10,50.0,44.16,50.75,60.0,52.6,40.0,63.45,55.4
4,20,13,65.0,40.64,65.25,60.0,60.4,62.6,66.2,67.8
4,20,12,60.0,42.89,60.25,38.0,78.0,78.9,51.25,61.2
4,20,16,80.0,35.01,77.75,69.0,77.2,98.0,61.85,77.8
4,20,13,65.0,41.54,63.25,87.0,59.8,58.5,65.15,66.2
4,20,14,70.0,35.67,69.62,83.0,60.4,60.95,77.42,70.0
4,20,13,65.0,33.09,64.25,42.0,76.0,61.9,76.25,67.0
4,20,12,60.0,32.0,60.0,72.0,53.8,70.4,59.55,61.4
4,20,11,55.0,41.58,56.5,58.0,63.6,87.7,37.65,55.4
4,20,15,75.0,36.48,74.5,52.0,88.8,90.5,66.65,75.2
4,20,12,60.0,31.1,62.0,65.0,62.4,64.2,70.25,62.6
4,20,11,55.0,34.25,55.0,27.0,48.2,68.5,53.45,57.0
4,20,12,60.0,43.45,59.0,46.0,82.2,72.7,55.1,60.2
4,20,12,60.0,32.9,58.0,12.0,75.0,80.3,56.8,59.4
4,20,14,70.0,35.05,71.0,51.0,67.8,81.1,66.85,72.4
4,20,14,70.0,36.62,67.5,32.0,84.4,93.1,57.25,69.6
4,20,16,80.0,31.79,78.25,75.0,83.2,82.1,80.7,78.2
4,20,13,65.0,32.08,66.5,60.0,60.2,61.7,74.8,68.8
4,20,12,60.0,41.12,57.5,20.0,74.0,72.1,55.95,59.0
4,20,16,80.0,23.11,79.75,85.0,78.0,81.4,87.75,79.4
4,20,18,90.0,25.49,92.25,81.0,92.8,91.6,97.35,91.8
4,20,11,55.0,42.14,55.25,98.0,44.4,37.6,68.6,57.2
4,20,14,70.0,26.6,72.0,72.0,80.0,81.3,76.85,73.2
4,20,15,75.0,33.02,75.5,83.0,83.0,79.1,78.45,76.0
4,20,13,65.0,36.85,67.0,100.0,66.8,53.0,80.8,69.2
4,20,12,60.0,44.12,57.5,24.0,72.4,80.6,44.6,59.0
4,20,15,75.0,33.14,75.25,71.0,82.8,83.4,75.05,75.8
4,20,12,60.0,38.99,62.25,20.0,66.2,81.1,54.0,62.8
4,20,10,50.0,43.38,52.5,23.0,60.2,59.4,54.3,55.0
4,20,12,60.0,35.0,60.0,82.0,48.0,36.9,80.15,61.0
4,20,8,40.0,48.44,41.25,49.0,31.2,36.9,45.6,43.0
4,20,9,45.0,47.2,44.0,35.0,55.6,53.3,44.2,45.2
4,20,14,70.0,37.94,71.25,55.0,64.4,70.0,70.95,72.6
4,20,12,60.0,39.33,61.5,32.0,74.4,93.4,44.9,62.2
4,20,9,45.0,49.52,45.5,19.0,67.2,49.5,49.4,46.4
4,20,15,75.0,24.46,76.75,47.0,78.0,79.0,86.45,77.0
4,20,15,75.0,27.8,76.0,48.0,85.6,77.2,84.8,76.4
4,20,11,55.0,41.24,57.25,29.0,77.8,67.1,60.25,58.8
4,20,10,50.0,44.72,49.5,34.0,63.2,61.3,48.55,49.6
4,20,11,55.0,41.24,57.25,74.0,65.4,56.1,63.8,58.8
4,20,13,65.0,37.3,66.0,44.0,82.8,80.4,64.1,68.4
4,20,12,60.0,30.99,62.25,28.0,70.0,83.5,58.85,62.8
4,20,14,70.0,34.94,71.25,72.0,80.8,67.9,80.55,72.6
4,20,12,60.0,33.01,57.75,43.0,71.6,72.4,60.55,59.2
4,20,13,65.0,38.31,63.75,71.0,63.0,63.2,67.7,66.6
4,20,10,50.0,36.72,49.5,62.0,48.0,54.1,54.95,49.6
4,20,13,65.0,38.2,64.0,42.0,65.6,66.0,67.7,66.8
4,20,15,75.0,35.69,76.25,43.0,88.8,85.1,74.0,76.6
4,20,8,40.0,43.44,41.25,21.0,62.4,47.4,49.05,43.0
4,20,12,60.0,39.66,60.75,72.0,76.4,67.1,63.65,61.6
4,20,14,70.0,37.71,71.75,93.0,82.6,68.5,76.55,73.0
4,20,16,80.0,32.01,77.75,66.0,78.2,92.2,70.85,77.8
4,20,11,55.0,34.14,55.25,65.0,49.8,64.7,55.85,57.2
4,20,9,45.0,48.85,47.0,47.0,47.6,61.0,36.05,47.6
4,20,10,50.0,48.29,48.25,0.0,59.8,44.5,56.3,48.6
4,20,10,50.0,35.6,52.0,25.0,61.2,75.3,47.1,54.6
4,20,12,60.0,32.34,59.25,78.0,55.2,76.0,54.1,60.4
4,20,16,80.0,33.21,81.75,82.0,82.0,83.4,80.5,83.4
4,20,17,85.0,20.75,85.0,46.0,98.8,97.4,90.5,86.0
4,20,10,50.0,45.51,47.75,13.0,64.0,90.4,23.75,48.2
4,20,11,55.0,42.25,55.0,28.0,64.2,76.6,45.45,57.0
4,20,11,55.0,42.47,54.5,35.0,64.8,69.2,50.45,56.6
4,20,14,70.0,28.29,68.25,39.0,69.2,72.7,76.1,70.2
4,20,11,55.0,33.8,56.0,51.0,55.8,68.7,56.05,57.8
4,20,16,80.0,34.67,78.5,71.0,86.6,83.6,77.0,78.4
4,20,10,50.0,47.84,49.25,45.0,59.0,56.6,46.3,49.4
4,20,11,55.0,33.69,56.25,57.0,56.8,58.8,64.35,58.0
4,20,16,80.0,22.89,80.25,44.0,88.6,92.3,84.4,82.2
4,20,11,55.0,41.35,57.0,20.0,65.8,71.7,53.2,58.6
4,20,15,75.0,33.25,75.0,54.0,89.0,87.8,73.55,75.6
4,20,10,50.0,47.16,50.75,28.0,47.0,62.3,41.4,53.6
4,20,9,45.0,47.65,43.0,21.0,47.8,49.4,44.1,44.4
4,20,12,60.0,32.34,59.25,66.0,70.6,75.7,59.1,60.4
4,20,12,60.0,32.67,58.5,18.0,76.6,88.1,51.6,59.8
4,20,10,50.0,43.6,52.0,70.0,55.4,50.0,57.85,54.6
4,20,11,55.0,42.59,54.25,30.0,57.0,66.9,49.9,56.4
4,20,17,85.0,29.31,83.75,98.0,68.4,77.6,87.8,85.0
4,20,16,80.0,34.0,80.0,85.0,88.0,87.8,75.85,82.0
4,20,15,75.0,32.46,76.75,75.0,90.4,78.3,83.4,77.0
4,20,16,80.0,25.55,81.0,97.0,83.2,90.7,79.3,82.8
4,20,8,40.0,48.33,41.5,20.0,62.8,61.3,36.55,43.2
4,20,16,80.0,23.34,79.25,50.0,100.0,90.1,87.55,79.0
4,20,15,75.0,25.92,73.5,65.0,79.8,81.1,79.55,74.4
4,20,14,70.0,30.27,70.5,23.0,86.8,97.6,61.35,72.0
4,20,7,35.0,51.25,35.0,32.0,32.4,48.9,27.35,35.0
4,20,14,70.0,36.17,68.5,61.0,57.0,71.3,67.35,70.4
4,20,16,80.0,33.1,82.0,73.0,79.2,83.4,80.45,83.6
4,20,18,90.0,27.4,88.0,88.0,91.0,83.2,96.65,88.4
4,20,11,55.0,37.14,55.25,60.0,66.4,76.7,47.15,57.2
4,20,14,70.0,27.39,70.25,25.0,86.8,81.4,77.75,71.8
4,20,17,85.0,20.75,85.0,93.0,85.0,79.2,99.3,86.0
4,20,13,65.0,38.65,63.0,72.0,49.6,54.2,69.9,66.0
4,20,16,80.0,27.12,77.5,64.0,79.0,69.8,90.55,77.6
4,20,13,65.0,37.19,66.25,41.0,68.8,76.8,63.55,68.6
4,20,12,60.0,32.0,60.0,36.0,71.0,64.9,70.1,61.0
4,20,12,60.0,33.99,62.25,33.0,91.6,70.9,70.7,62.8
4,20,14,70.0,35.5,70.0,54.0,82.8,78.8,71.2,71.6
4,20,10,50.0,37.4,48.0,44.0,45.0,52.3,53.9,48.4
4,20,12,60.0,40.11,59.75,44.0,44.6,39.5,76.2,60.8
4,20,13,65.0,37.3,66.0,19.0,75.2,88.5,56.5,68.4
4,20,9,45.0,46.41,45.75,29.0,54.6,55.4,45.2,46.6
4,20,10,50.0,40.17,48.5,39.0,44.8,62.2,42.95,48.8
4,20,10,50.0,47.05,51.0,24.0,49.8,82.1,27.0,53.8
4,20,15,75.0,32.35,77.0,76.0,71.0,93.7,66.1,77.2
4,20,16,80.0,34.79,78.25,74.0,73.6,69.2,84.3,78.2
4,20,12,60.0,31.33,61.5,65.0,59.6,62.3,70.2,62.2
4,20,12,60.0,42.77,60.5,38.0,70.6,61.8,63.15,61.4
4,20,13,65.0,37.97,64.5,71.0,64.0,57.4,73.75,67.2
4,20,15,75.0,35.24,77.25,75.0,73.6,100.0,58.25,77.4
4,20,16,80.0,34.79,78.25,68.0,83.0,78.4,79.85,78.2
4,20,12,60.0,40.79,58.25,34.0,72.2,82.9,47.5,59.6
4,20,8,40.0,50.99,42.25,45.0,32.4,53.7,30.3,43.8
4,20,11,55.0,36.69,56.25,46.0,44.0,49.6,64.5,58.0
4,20,14,70.0,38.39,70.25,82.0,76.2,76.5,66.5,71.8
4,20,16,80.0,32.12,77.5,57.0,75.0,69.8,87.7,77.6
4,20,12,60.0,40.11,59.75,0.0,87.8,84.9,53.9,60.8
4,20,13,65.0,40.3,66.0,88.0,61.0,67.4,62.65,67.0
4,20,14,70.0,35.33,70.38,27.0,92.8,91.75,65.33,74.8
4,20,11,55.0,37.14,55.25,17.0,75.8,86.8,43.4,57.2
4,20,14,70.0,30.72,69.5,62.0,74.6,82.8,66.65,71.2
4,20,10,50.0,40.06,48.75,16.0,72.8,84.1,34.65,49.0
4,20,16,80.0,34.0,80.0,89.0,80.4,66.8,90.25,82.0
4,20,10,50.0,44.61,49.75,50.0,48.8,59.1,46.05,49.8
4,20,14,70.0,36.06,68.75,40.0,92.4,84.5,67.95,70.6
4,20,13,65.0,32.97,64.5,56.0,76.2,72.3,67.9,67.2
4,20,13,65.0,40.52,65.5,80.0,72.0,60.1,71.05,68.0
4,20,11,55.0,42.14,55.25,74.0,58.4,59.8,55.8,57.2
4,20,13,65.0,31.74,67.25,23.0,86.6,82.8,68.0,69.4
4,20,13,65.0,37.3,66.0,53.0,65.4,57.6,77.0,68.4
4,20,10,50.0,45.62,47.5,39.0,49.4,43.1,55.85,48.0
4,20,14,70.0,38.16,70.75,30.0,77.8,76.2,69.95,72.2
4,20,16,80.0,22.77,80.5,68.0,93.8,83.2,92.55,82.4
4,20,13,65.0,28.96,66.75,71.0,71.2,73.4,72.55,69.0
4,20,7,35.0,51.02,35.5,14.0,48.4,32.7,46.15,31.8
4,20,13,65.0,30.03,64.38,44.0,72.4,77.75,66.78,72.6
4,20,12,60.0,43.34,59.25,69.0,61.8,64.4,55.5,62.6
4,20,12,60.0,43.56,58.75,58.0,76.6,76.4,49.75,56.8
4,20,14,70.0,35.95,69.0,49.0,67.6,76.9,67.1,70.8
4,20,14,70.0,26.6,72.0,84.0,69.8,72.6,80.45,73.2
4,20,15,75.0,32.91,75.75,55.0,88.4,81.2,79.75,76.2
4,20,14,70.0,34.6,72.0,49.0,91.6,79.5,76.4,73.2
4,20,14,70.0,28.29,68.25,41.0,82.0,69.3,82.3,70.2
4,20,10,50.0,35.71,51.75,49.0,48.4,60.4,54.05,54.4
4,20,12,60.0,40.0,60.0,16.0,74.4,96.4,40.8,61.0
4,20,12,60.0,35.79,58.25,37.0,77.4,84.9,49.25,59.6
4,20,13,65.0,28.74,67.25,87.0,58.2,59.4,80.2,69.4
4,20,13,65.0,29.3,66.0,45.0,89.2,83.8,69.15,68.4
4,20,10,50.0,47.39,50.25,32.0,52.6,51.2,50.85,53.2
4,20,15,75.0,24.69,76.25,62.0,79.8,90.4,76.55,76.6
4,20,14,70.0,28.4,68.0,58.0,77.6,80.8,70.9,70.0
4,20,12,60.0,35.11,59.75,51.0,65.6,58.2,68.95,60.8
4,20,11,55.0,33.58,56.5,45.0,60.2,52.5,71.15,58.2
4,20,12,60.0,40.67,58.5,33.0,71.8,60.0,66.0,59.8
4,20,13,65.0,30.42,63.5,50.0,68.6,87.1,56.7,66.4
4,20,12,60.0,41.88,62.5,57.0,74.6,62.3,66.25,65.6
4,20,16,80.0,24.12,77.5,80.0,78.4,95.2,73.6,77.6
4,20,12,60.0,44.12,57.5,69.0,57.0,37.0,73.2,59.0
4,20,10,50.0,47.95,49.0,39.0,55.6,61.5,41.3,49.2
4,20,13,65.0,29.75,65.0,9.0,84.2,92.9,60.35,67.6
4,20,9,45.0,42.76,42.75,8.0,54.6,66.6,34.45,44.2
4,20,10,50.0,47.61,49.75,17.0,74.4,63.4,47.05,49.8
4,20,10,50.0,38.71,51.75,33.0,55.2,56.7,55.5,54.4
4,20,12,60.0,34.21,61.75,16.0,70.0,59.3,73.75,62.4
4,20,12,60.0,43.45,59.0,65.0,67.2,79.1,45.1,60.2
4,20,13,65.0,36.74,67.25,54.0,79.0,77.5,66.9,69.4
4,20,11,55.0,43.04,53.25,19.0,66.8,60.8,56.35,55.6
4,20,11,55.0,42.14,55.25,51.0,54.8,60.9,54.8,57.2
4,20,14,70.0,35.05,71.0,66.0,86.2,81.5,71.1,72.4
4,20,9,45.0,50.2,44.0,18.0,73.6,53.4,45.8,45.2
4,20,9,45.0,49.08,46.5,58.0,42.8,50.5,41.85,54.4
4,20,12,60.0,36.12,57.5,33.0,63.4,71.9,54.65,59.2
4,20,13,65.0,40.47,65.62,81.0,53.4,56.05,69.22,62.6
4,20,12,60.0,41.99,62.25,35.0,86.8,84.1,52.8,60.0
4,20,14,70.0,28.17,68.5,49.0,68.2,73.3,75.35,70.4
4,20,11,55.0,44.46,56.75,75.0,55.4,52.5,59.05,58.4
4,20,16,80.0,25.77,80.5,40.0,89.8,87.8,84.85,82.4
4,20,15,75.0,32.8,76.0,79.0,85.2,88.6,72.45,76.4
4,20,14,70.0,30.16,70.75,44.0,86.8,79.7,75.15,72.2
4,20,7,35.0,50.58,36.5,20.0,33.6,51.7,28.25,36.2
4,20,11,55.0,34.36,54.75,16.0,72.8,65.8,62.5,56.8
4,20,11,55.0,46.26,52.75,65.0,45.0,48.3,53.65,55.2
4,20,12,60.0,32.34,59.25,68.0,52.2,68.5,59.6,60.4
4,20,14,70.0,28.51,67.75,74.0,71.6,61.5,83.55,69.8
4,20,11,55.0,42.92,53.5,16.0,69.4,77.9,44.0,55.8
4,20,10,50.0,35.94,51.25,65.0,31.0,55.3,51.85,54.0
4,20,14,70.0,27.84,69.25,71.0,71.2,83.2,68.65,71.0
4,20,13,65.0,30.65,63.0,11.0,71.4,67.2,74.0,66.0
4,20,12,60.0,44.01,57.75,44.0,49.6,51.2,61.2,59.2
4,20,12,60.0,42.77,60.5,12.0,75.2,67.0,61.3,61.4
4,20,13,65.0,41.65,63.0,11.0,92.6,81.9,58.25,66.0
4,20,13,65.0,40.08,66.5,54.0,68.2,76.2,59.75,68.8
4,20,11,55.0,43.15,53.0,21.0,60.8,61.0,54.05,55.4
4,20,12,60.0,40.9,58.0,48.0,65.2,69.2,55.5,59.4
4,20,11,55.0,45.7,54.0,40.0,60.2,51.0,58.65,56.2
4,20,14,70.0,38.84,69.25,79.0,69.2,70.4,67.95,71.0
4,20,15,75.0,24.57,76.5,77.0,68.4,78.6,82.55,76.8
4,20,10,50.0,43.49,52.25,19.0,61.0,64.8,50.0,54.8
4,20,14,70.0,35.27,70.5,74.0,73.4,72.8,73.35,72.0
4,20,13,65.0,41.03,64.38,52.0,66.4,67.95,62.58,68.2
4,20,13,65.0,29.41,65.75,51.0,74.6,68.0,77.0,68.6
4,20,13,65.0,29.64,65.25,58.0,65.8,77.0,66.35,67.6
4,20,11,55.0,41.24,57.25,39.0,67.0,73.9,51.45,58.8
4,20,13,65.0,37.97,64.5,43.0,76.8,91.9,51.0,67.2
4,20,11,55.0,37.14,55.25,24.0,67.6,52.6,68.0,57.2
4,20,11,55.0,44.46,56.75,26.0,54.6,72.9,44.5,58.4
4,20,13,65.0,29.52,65.5,68.0,48.2,67.1,69.3,68.0
4,20,16,80.0,31.23,79.5,72.0,78.4,100.0,67.2,79.2
4,20,14,70.0,30.39,70.25,43.0,75.8,83.4,68.4,71.8
4,20,10,50.0,46.94,51.25,68.0,46.2,41.3,57.1,54.0
4,20,12,60.0,40.22,59.5,44.0,68.0,66.7,60.75,60.6
4,20,11,55.0,37.92,53.5,83.0,37.8,44.1,61.45,55.8
4,20,14,70.0,26.94,71.25,60.0,76.4,78.2,77.6,72.6
4,20,16,80.0,30.1,82.0,82.0,88.4,92.5,79.45,83.6
4,20,9,45.0,46.19,46.25,22.0,59.0,59.9,43.9,47.0
4,20,15,75.0,24.8,76.0,83.0,62.0,64.0,91.35,76.4
4,20,18,90.0,30.06,88.75,99.0,85.6,78.9,95.3,89.0
4,20,16,80.0,30.55,81.0,79.0,75.0,79.3,84.75,82.8
4,20,12,60.0,39.1,62.0,55.0,52.8,62.5,63.3,62.6
4,20,13,65.0,40.75,65.0,39.0,84.2,78.8,60.4,67.6
4,20,14,70.0,27.72,69.5,69.0,74.8,71.2,79.65,71.2
4,20,12,60.0,40.22,59.5,50.0,64.6,63.2,62.35,60.6
4,20,15,75.0,36.25,75.0,89.0,71.2,72.8,75.15,75.6
4,20,13,65.0,29.41,65.75,60.0,74.6,84.0,63.95,68.2
4,20,15,75.0,33.02,75.5,53.0,81.6,93.4,67.85,76.0
4,20,16,80.0,31.0,80.0,72.0,89.6,90.5,78.65,82.0
4,20,12,60.0,33.01,57.75,0.0,69.8,89.2,48.35,59.2
4,20,16,80.0,33.44,81.25,83.0,81.2,78.0,83.75,83.0
4,20,13,65.0,37.64,65.25,72.0,57.6,64.5,67.45,67.8
4,20,13,65.0,38.42,63.5,49.0,69.6,84.1,53.4,66.4
4,20,8,40.0,48.55,41.0,16.0,46.0,52.4,38.3,42.8
4,20,13,65.0,37.41,65.75,78.0,66.0,57.0,76.3,68.2
4,20,10,50.0,39.05,51.0,41.0,57.6,61.8,50.65,53.8
4,20,11,55.0,42.47,54.5,33.0,62.6,63.8,54.2,56.6
4,20,12,60.0,44.12,57.5,58.0,53.6,65.8,49.8,59.0
4,20,12,60.0,43.0,60.0,23.0,65.2,77.4,49.05,61.0
4,20,11,55.0,42.02,55.5,46.0,68.0,80.0,43.9,57.4
4,20,8,40.0,41.34,39.25,20.0,56.0,62.0,36.6,41.4
4,20,7,35.0,50.46,36.75,17.0,45.4,51.7,32.05,36.4
4,20,11,55.0,41.8,56.0,25.0,70.2,67.4,56.1,57.8
4,20,13,65.0,29.52,65.5,70.0,54.8,57.3,78.85,68.0
4,20,11,55.0,44.24,57.25,46.0,59.0,69.3,48.6,58.8
4,20,11,55.0,34.81,53.75,41.0,54.2,63.4,56.7,56.0
4,20,13,65.0,37.3,66.0,69.0,59.2,44.7,84.9,68.4
4,20,11,55.0,42.59,54.25,61.0,41.6,49.6,58.15,56.4
4,20,16,80.0,29.88,82.5,68.0,84.8,100.0,73.8,84.0
4,20,13,65.0,39.85,67.0,68.0,62.6,68.3,64.7,69.2
4,20,9,45.0,46.86,44.75,41.0,35.8,44.3,46.75,45.8
4,20,6,30.0,46.06,28.75,24.0,24.2,37.2,30.95,30.0
4,20,15,75.0,37.26,72.75,48.0,76.0,95.8,56.3,73.8
4,20,14,70.0,28.06,68.75,54.0,70.8,86.3,65.95,70.6
4,20,15,75.0,25.59,74.25,37.0,85.6,98.8,69.35,75.0
4,20,11,55.0,43.04,53.25,40.0,51.0,63.8,48.75,55.6
4,20,15,75.0,33.81,73.75,49.0,86.4,92.3,67.5,74.6
4,20,14,70.0,39.17,68.5,73.0,73.8,72.1,66.95,70.4
4,20,16,80.0,35.01,77.75,67.0,92.0,89.2,73.05,77.8
4,20,9,45.0,46.52,45.5,44.0,35.8,29.0,59.95,46.4
4,20,11,55.0,45.02,55.5,47.0,61.0,79.0,38.7,57.4
4,20,19,95.0,25.26,92.75,75.0,97.6,97.2,95.25,92.2
4,20,12,60.0,34.21,61.75,39.0,78.4,73.3,64.1,62.4
4,20,9,45.0,41.41,45.75,44.0,49.6,69.1,34.35,46.6
4,20,15,75.0,33.92,73.5,37.0,94.8,91.0,70.95,74.4
4,20,13,65.0,29.41,65.75,58.0,61.4,74.1,68.2,68.2
4,20,13,65.0,37.3,66.0,72.0,70.0,57.8,77.4,68.4
4,20,12,60.0,42.33,61.5,26.0,69.2,78.7,51.35,62.2
4,20,8,40.0,51.55,41.0,25.0,42.0,47.6,36.65,42.8
4,20,15,75.0,32.91,75.75,59.0,90.0,90.7,72.5,76.2
4,20,18,90.0,26.5,90.0,98.0,86.8,98.5,86.05,90.0
4,20,13,65.0,33.2,64.0,63.0,75.2,86.5,55.3,66.8
4,20,16,80.0,29.99,82.25,64.0,95.0,92.4,82.45,83.8
4,20,11,55.0,45.36,54.75,25.0,49.8,64.2,47.0,56.8
4,20,14,70.0,28.51,67.75,75.0,59.8,70.9,72.75,69.8
4,20,9,45.0,42.09,44.25,17.0,50.0,68.3,33.8,45.4
4,20,13,65.0,31.74,67.25,69.0,59.8,63.6,74.0,69.4
4,20,13,65.0,33.76,62.75,29.0,79.8,85.8,56.5,65.8
4,20,11,55.0,43.15,53.0,37.0,54.0,49.4,60.75,55.4
4,20,10,50.0,47.27,50.5,49.0,67.2,48.2,57.05,53.4
4,20,15,75.0,28.59,74.25,98.0,63.6,63.0,85.3,75.0
4,20,10,50.0,43.49,52.25,30.0,55.0,66.0,46.95,54.8
4,20,14,70.0,30.05,71.0,71.0,76.0,91.9,61.8,72.4
4,20,9,45.0,50.09,44.25,39.0,53.2,50.8,41.75,45.4
4,20,7,35.0,46.14,35.25,19.0,31.2,52.3,27.2,35.2
4,20,12,60.0,31.55,61.0,35.0,79.8,83.6,59.3,61.8
4,20,16,80.0,30.77,80.5,42.0,92.0,100.0,73.7,82.4
4,20,13,65.0,29.41,65.75,86.0,61.4,67.4,72.45,68.2
4,20,15,75.0,24.8,76.0,46.0,82.0,95.8,73.1,76.4
4,20,12,60.0,34.21,61.75,77.0,57.8,71.4,58.4,62.4
4,20,14,70.0,28.51,67.75,79.0,57.6,51.8,87.15,69.8
4,20,13,65.0,29.97,64.5,62.0,73.0,74.6,68.95,67.2
4,20,16,80.0,30.55,81.0,57.0,86.8,93.2,77.85,82.8
4,20,9,45.0,41.86,44.75,30.0,52.2,55.7,44.7,45.8
4,20,14,70.0,30.72,69.5,45.0,84.4,69.5,80.6,71.2
4,20,16,80.0,30.89,80.25,77.0,93.6,84.6,84.65,82.2
4,20,12,60.0,32.0,60.0,43.0,53.8,48.5,78.05,61.0
4,20,10,50.0,48.62,47.5,31.0,65.6,64.8,39.45,48.0
4,20,14,70.0,36.51,67.75,30.0,81.6,96.1,54.55,69.8
4,20,15,75.0,35.24,77.25,61.0,85.4,86.0,73.2,77.4
4,20,15,75.0,24.46,76.75,61.0,81.8,88.1,79.75,77.0
4,20,14,70.0,35.95,69.0,92.0,69.6,62.5,77.45,70.8
4,20,13,65.0,38.76,62.75,50.0,74.4,70.8,64.1,65.8
4,20,14,70.0,30.5,70.0,75.0,74.0,79.1,69.7,71.6
4,20,12,60.0,39.89,60.25,43.0,56.2,60.6,63.5,61.2
4,20,13,65.0,36.85,67.0,64.0,68.2,70.4,68.75,69.2
4,20,9,45.0,46.52,45.5,19.0,35.4,36.8,54.6,46.4
4,20,13,65.0,38.54,63.25,17.0,84.8,76.9,64.2,66.2
4,20,17,85.0,24.42,83.5,68.0,95.6,93.1,85.85,84.8
4,20,13,65.0,40.41,65.75,54.0,85.0,66.1,71.3,68.2
4,20,16,80.0,34.11,79.75,79.0,81.0,88.6,73.1,79.4
4,20,12,60.0,34.55,61.0,51.0,59.2,50.9,74.9,61.8
4,20,10,50.0,44.16,50.75,24.0,66.6,72.6,42.85,53.6
4,20,14,70.0,30.95,69.0,79.0,61.8,69.7,72.05,70.8
4,20,11,55.0,41.35,57.0,19.0,76.8,71.4,56.55,58.6
4,20,13,65.0,38.31,63.75,52.0,69.2,73.6,61.9,66.6
4,20,8,40.0,51.44,41.25,28.0,57.8,61.5,30.3,43.0
4,20,10,50.0,46.71,51.75,86.0,44.4,59.1,42.55,54.4
4,20,14,70.0,34.6,72.0,50.0,84.8,92.8,63.9,73.2
4,20,12,60.0,30.88,62.5,50.0,64.6,58.3,76.9,65.6
4,20,9,45.0,46.52,45.5,20.0,52.6,49.1,49.6,46.4
4,20,12,60.0,32.0,60.0,17.0,84.6,72.3,68.75,61.0
4,20,15,75.0,32.35,77.0,57.0,80.2,77.2,82.5,77.2
4,20,14,70.0,27.16,70.75,47.0,66.4,72.0,79.45,72.2
